cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
1,MRN,MBmot,9267.12943068495,4456.1281134778,4245.86014328143,3464.09785182022
2,MRN,MBmot,9271.41984396089,4455.21546454715,4263.45337012869,3480
4,MRN,MBmot,9257.87200446913,4458.09733639249,4207.89923160183,3429.78578116884
5,MRN,MBmot,9258.44253901012,4457.97597331969,4210.23875997782,3431.90043172322
9,MRN,MBmot,9249.93447958385,4459.78579229001,4175.35069444906,3400.36584215867
10,MRN,MBmot,9254.26502200605,4458.86460716015,4193.10847448222,3416.41672650655
11,MRN,MBmot,9246.7222734001,4460.46908696352,4162.17875309138,3388.46000105835
14,SCdg,SCm,9124.20350273006,4486.53105765146,3659.77947665448,2934.35184860413
17,MRN,MBmot,9252.83749132458,4459.16826889763,4187.25475608841,3411.12567341496
19,MRN,MBmot,9248.13234837067,4460.1691383732,4167.96089276732,3393.68635565045
21,MRN,MBmot,9249.31038904149,4459.91854769828,4172.79155485604,3398.05268963842
22,MRN,MBmot,9249.83577505433,4459.80678853851,4174.94594761769,3400
24,MRN,MBmot,9244.66851783196,4460.90595812313,4153.75714303305,3380.84788463294
26,MRN,MBmot,9233.27658514501,4463.32922938306,4107.04349492963,3338.62439939011
27,MRN,MBmot,9233.97673223966,4463.18029536293,4109.91451127944,3341.21945075947
28,MRN,MBmot,9230.63369732535,4463.89141968672,4096.20609490483,3328.82870116066
29,MRN,MBmot,9229.78193322668,4464.07260540097,4092.7133593466,3325.67169085881
30,MRN,MBmot,9221.6400401417,4465.80453413128,4059.32679194677,3295.49427391217
32,MRN,MBmot,9223.77319090497,4465.35077416975,4068.07396916816,3303.40066365733
34,MRN,MBmot,9214.72367050308,4467.27577173677,4030.96559404205,3269.85918288807
35,MRN,MBmot,9217.45967169448,4466.69377452555,4042.1848138512,3280
36,MRN,MBmot,9217.45967169448,4466.69377452555,4042.1848138512,3280
38,MRN,MBmot,9214.35168738237,4467.35489931155,4029.44024368418,3268.48045074146
39,MRN,MBmot,9204.45705060676,4469.45966850082,3988.86639259601,3231.8065990467
40,MRN,MBmot,9206.6676372412,4468.98943652123,3997.93110259571,3240
41,MRN,MBmot,9204.20808589191,4469.51262782343,3987.84549031371,3230.88382691904
42,MRN,MBmot,9201.27162001456,4470.13726751907,3975.80424696796,3220
44,MRN,MBmot,9199.35841790339,4470.54424040223,3967.95898904481,3212.9088361626
45,MRN,MBmot,9197.17228066,4471.00927155171,3958.99453597969,3204.80605534644
46,MRN,MBmot,9193.95709310351,4471.69320041743,3945.81036923401,3192.88916397472
47,MRN,MBmot,9192.04932040454,4472.09901836588,3937.98737510562,3185.81812391371
48,MRN,MBmot,9190.47958556128,4472.43292951475,3931.55053571246,3180
49,MRN,MBmot,9185.08356833464,4473.58076051259,3909.42368008472,3160
54,SCig,SCm,8919.63926058224,4530.04559222849,2820.94533982899,2176.14729307429
55,MRN,MBmot,9183.12517094844,4473.99734725269,3901.39309485746,3152.74132270544
56,MRN,MBmot,9185.67855899301,4473.45419517886,3911.8634929772,3162.20529562223
57,,,8282.88416865284,4665.49498051815,209.873618301664,-183.945587228959
59,MRN,MBmot,9197.06448121938,4471.03220245321,3958.55249464454,3204.40650346922
