cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,INC,PAG,7634.4730792032,5112.59118867339,235.345422165475,3665.50443421192
1,INC,PAG,7634.62481438784,5112.60520349566,235.865584550133,3665.13542999966
2,INC,PAG,7633.04201342845,5112.45901015108,230.439595031698,3668.98463756838
6,INC,PAG,7638.39682665571,5112.95360048516,248.796394900809,3655.96228786541
7,INC,PAG,7646.3270515548,5113.68606535663,275.981946517931,3636.67680441782
9,MRN,MBmot,7662.67367633206,5115.1959000169,332.019702987955,3596.92351045995
10,MRN,MBmot,7659.94442889574,5114.94381663994,322.663587871399,3603.56075680886
12,MRN,MBmot,7669.67423918417,5115.84249786689,356.018286279924,3579.89886857071
13,MRN,MBmot,7670.67068202532,5115.93453300925,359.434185404622,3577.47562305575
14,MRN,MBmot,7668.49596020896,5115.73366766735,351.979035904602,3582.76432068112
15,MRN,MBmot,7677.80447995427,5116.5934369432,383.889510983812,3560.12696729532
16,MRN,MBmot,7685.77474773187,5117.32960032287,411.212333328349,3540.74410372543
17,MRN,MBmot,7691.28460536985,5117.83851113157,430.100639918184,3527.34470211602
18,MRN,MBmot,7702.52879523775,5118.87706605166,468.646772964333,3500
20,MRN,MBmot,7709.22451258733,5119.49550724472,491.600317401826,3483.71671071652
21,MRN,MBmot,7708.12664211886,5119.39410387195,487.836714897593,3486.38661768846
22,MRN,MBmot,7710.0405395772,5119.57087851248,494.397734137976,3481.73221781673
23,MRN,MBmot,7718.97686597582,5120.39627063568,525.032295662807,3460
24,MRN,MBmot,7721.1204818651,5120.59426291923,532.380811139595,3454.78694875911
25,MRN,MBmot,7722.92692108144,5120.7611123195,538.573453490087,3450.39387617301
26,MRN,MBmot,7725.10190199786,5120.96200159283,546.029491209312,3445.1045484432
27,MRN,MBmot,7731.4743534322,5121.55058475159,567.874849897114,3429.60740829634
29,MRN,MBmot,7743.64897208292,5122.67507751171,609.610579710519,3400
30,MRN,MBmot,7742.44347466167,5122.56373331594,605.478021960042,3402.9316445447
32,MRN,MBmot,7751.87300745196,5123.43467980372,637.803341059757,3380
33,MRN,MBmot,7757.47791398555,5123.9523696796,657.017484141043,3366.36944934675
34,MRN,MBmot,7752.56064188825,5123.49819226086,640.160616130694,3378.32774445771
35,MRN,MBmot,7756.98701014139,5123.90702798682,655.334619914097,3367.56327651827
37,MRN,MBmot,7770.53473999939,5125.15834637127,701.777503191164,3334.61660435533
38,MRN,MBmot,7774.95492759975,5125.5666112293,716.930319119565,3323.86716712164
40,MRN,MBmot,7784.81382658572,5126.4772155653,750.727545639806,3299.89134857618
41,MRN,MBmot,7781.51574784492,5126.17259282739,739.421423684088,3307.91193358782
42,MRN,MBmot,7795.15160001535,5127.43205051421,786.16639847856,3274.75095711203
44,MRN,MBmot,7791.94067691305,5127.13547779309,775.159054191744,3282.55958866143
45,MRN,MBmot,7799.37365260778,5127.82201489085,800.639989094508,3264.48336364245
46,PAG,MBmot,7815.02178238722,5129.2673339724,854.2832394743,3226.42873698472
47,PAG,MBmot,7816.74095364256,5129.42612298136,860.17671910389,3222.24789101749
48,PAG,MBmot,7817.66529040424,5129.51149813981,863.345431853655,3220
49,PAG,MBmot,7841.24545122913,5131.68944891517,944.180425488981,3162.65549753429
50,PAG,MBmot,7846.30013102755,5132.15631781687,961.508339932308,3150.36304116318
53,PAG,MBmot,7845.68695614493,5132.09968271922,959.406319165727,3151.8542188031
54,PAG,MBmot,7863.05866784266,5133.70419819485,1018.95816933962,3109.60801990389
55,PAG,MBmot,7857.50513078235,5133.19125299331,999.920125610536,3123.11364533253
56,PAG,MBmot,7863.43451355819,5133.73891269377,1020.2466035555,3108.69400215308
58,PAG,MBmot,7863.88881463057,5133.78087361932,1021.8039900622,3107.58918912153
59,PAG,MBmot,7867.43738958397,5134.10863311293,1033.96883643042,3098.95942333341
60,PAG,MBmot,7869.23318664584,5134.27449956449,1040.12499648145,3094.59223136185
61,PAG,MBmot,7870.93845950264,5134.43200486601,1045.97083110273,3090.44518485663
64,PAG,MBmot,7870.00694874006,5134.34596709033,1042.77752520787,3092.71052229932
65,PAG,MBmot,7872.65553829367,5134.59060060724,1051.85713756922,3086.26942754533
66,PAG,MBmot,7886.96443819478,5135.91222346917,1100.90938284543,3051.47166888056
67,PAG,MBmot,7884.6295830368,5135.69656762019,1092.90528129429,3057.14979416385
68,PAG,MBmot,7883.45757335653,5135.5883164759,1088.88752264755,3060
69,PAG,MBmot,7885.72914452401,5135.7981271817,1096.67468076871,3054.47577480993
70,PAG,MBmot,7888.50448261992,5136.05446766227,1106.18879897107,3047.72644076315
71,PAG,MBmot,7894.86608147101,5136.64204843635,1127.99695398991,3032.25569297176
72,PAG,MBmot,7895.17458545007,5136.67054300368,1129.05453444361,3031.50544333101
73,PAG,MBmot,7891.28296237795,5136.31109831837,1115.71368708462,3040.96946652032
74,MB,BS,7908.30111754339,5137.88295800639,1174.05351244454,2999.58308039287
75,MB,BS,7901.2047199703,5137.2275085075,1149.72639877836,3016.84078237164
76,MB,BS,7907.09261108876,5137.77133588518,1169.91063944661,3002.52204259428
77,MB,BS,7902.83744792843,5137.37831329415,1155.3235427115,3012.87015752663
78,MB,BS,7916.62527804547,5138.65180822563,1202.58951210129,2979.33958646671
79,MB,BS,7921.48414685987,5139.10059130138,1219.24616820316,2967.52332207492
80,MB,BS,7938.62009990494,5140.68333123679,1277.98981569651,2925.85046373681
81,MB,BS,7938.80059105471,5140.70000206624,1278.60855621535,2925.41152800349
82,MB,BS,7948.07796206439,5141.55689432978,1310.41225051961,2902.84992510813
83,MB,BS,7952.33209717637,5141.94982196647,1324.99582300896,2892.50431028262
84,MB,BS,8000.43435829999,5146.39272452717,1489.89486677076,2775.52460636563
85,MB,BS,7996.18082894833,5145.99985284075,1475.31337088433,2785.86874804498
86,MB,BS,7998.18788213247,5146.18523168829,1482.19373665327,2780.98780312177
87,MB,BS,7999.79712341549,5146.33386715885,1487.71036607054,2777.07429543167
88,MB,BS,8006.38377105211,5146.94223427024,1510.29000934518,2761.05625236385
89,MB,BS,8017.0087420849,5147.92359585089,1546.71340239111,2735.21742615259
90,MB,BS,8015.73121509242,5147.80559873779,1542.33392054309,2738.32423913467
92,SCiw,SCm,8033.78104967189,5149.47274814824,1604.21043929057,2694.42891580611
94,SCiw,SCm,8055.50055262721,5151.47884168819,1678.66692396828,2641.60934006084
97,SCiw,SCm,8045.38458553101,5150.54449359174,1643.98844395665,2666.21032155538
98,SCiw,SCm,8045.73228986025,5150.57660884826,1645.180406872,2665.36474073371
99,SCiw,SCm,8048.36584001519,5150.81985327074,1654.20846277009,2658.96022023551
100,SCiw,SCm,8055.5643922597,5151.48473815252,1678.8857721909,2641.45408870401
101,SCiw,SCm,8056.04002553765,5151.52866939939,1680.51628749068,2640.29739796373
115,SCiw,SCm,8072.59768464473,5153.05799597007,1737.27748935338,2600.03089043041
116,SCiw,SCm,8084.08420616781,5154.11893353717,1776.65435794669,2572.09686289368
117,SCiw,SCm,8094.60267501577,5155.09045818253,1812.71265155598,2546.5170389363
119,SCiw,SCm,8093.83745325069,5155.01977947305,1810.0893998755,2548.37797880522
120,SCiw,SCm,8108.39698946058,5156.36455203048,1860.00084982699,2512.97069866461
121,SCiw,SCm,8100.41641943615,5155.62743709723,1832.64271041813,2532.37861622895
122,SCiw,SCm,8104.18807915635,5155.97580152413,1845.57231220248,2523.20633145402
123,SCiw,SCm,8113.73056368952,5156.85718065221,1878.2848404262,2500
125,SCiw,SCm,8116.01394959158,5157.06808261055,1886.11250056094,2494.44704260233
126,SCiw,SCm,8125.11037576397,5157.90826214038,1917.29589906317,2472.32547876121
127,MB,BS,8130.17863442759,5158.37638523624,1934.67036312467,2460
129,MB,BS,8130.17863442759,5158.37638523624,1934.67036312467,2460
130,MB,BS,8129.5116349577,5158.31477870083,1932.38382664581,2461.62207344682
131,MB,BS,8148.96172166122,5160.11126057097,1999.06054045459,2414.32148236047
132,MB,BS,8149.97826365856,5160.20515214566,2002.5453413639,2411.84935778484
133,MB,BS,8148.36355418782,5160.05601161308,1997.00996648844,2415.77616353961
134,MB,BS,8151.93461524761,5160.38584800655,2009.25189732948,2407.09171387582
135,MB,BS,8154.83507058609,5160.65374477792,2019.19492912502,2400.03810768778
137,SCig,SCm,8164.92277180046,5161.58548213309,2053.77651105378,2375.50586588261
138,SCig,SCm,8162.9935697432,5161.40729390326,2047.16302621887,2380.19748494963
139,SCig,SCm,8169.76034538718,5162.03229830293,2070.36016512623,2363.74138927315
140,SCig,SCm,8172.21795275664,5162.25929199969,2078.78507272306,2357.76474335864
142,PPT,PRT,8195.13271591453,5164.37578418808,2157.33902100946,2302.03841892145
145,PPT,PRT,8207.41806866119,5165.51050475843,2199.454357646,2272.16171680289
146,PPT,PRT,8211.19468150573,5165.8593266742,2212.40093920322,2262.9773865439
148,PPT,PRT,8228.08038493385,5167.4189526304,2270.28670763697,2221.91310928727
156,PPT,PRT,8231.67430795483,5167.75090063907,2282.60701141624,2213.17306170792
157,PPT,PRT,8244.09126047297,5168.89777625054,2325.17348436051,2182.97632261098
158,PPT,PRT,8247.34135894336,5169.1979673534,2336.31512546802,2175.07242063451
159,PPT,PRT,8249.55474375213,5169.40240375212,2343.90281531706,2169.68969862652
160,PPT,PRT,8265.2906799602,5170.85583295983,2397.84707433512,2131.42153585252
161,PPT,PRT,8258.93714389901,5170.26899689482,2376.06655931308,2146.87267577615
162,PPT,PRT,8260.01883251641,5170.36890565204,2379.7746889205,2144.24212138562
166,PPT,PRT,8276.19699228765,5171.86318026193,2435.2349316157,2104.89851682828
167,PPT,PRT,8282.33728343044,5172.43032023839,2456.28442314089,2089.96596640199
168,MB,BS,8287.51053422171,5172.90814079508,2474.01881002198,2077.38515768914
169,PPT,PRT,8280.20256085405,5172.23314937408,2448.96639477133,2095.15739002943
170,MB,BS,8299.72779757145,5174.03657237716,2515.9007298465,2047.67404191321
171,MB,BS,8293.9149010934,5173.49967178155,2495.97357780984,2061.81040251287
174,MB,BS,8310.98779120153,5175.07658699111,2554.50103966543,2020.29090668869
175,MB,BS,8313.11901635681,5175.27343482068,2561.8070785488,2015.10798842619
179,root,,8333.30863168595,5177.13822228701,2631.0189655563,1966.00894051801
184,RSPv1,RSPv,8366.1366868014,5180.17034274722,2743.55660454972,1886.17451947684
185,RSPv1,RSPv,8363.80231046766,5179.95473112422,2735.55414445278,1891.85148030931
186,RSPv1,RSPv,8366.10616873672,5180.16752398602,2743.45198577367,1886.24873624103
187,RSPv1,RSPv,8371.77510013351,5180.69112743481,2762.88561206577,1872.46248376908
188,RSPv1,RSPv,8382.14825618513,5181.64923045342,2798.44575983737,1847.23604544251
189,RSPv2/3,RSPv,8385.18976633586,5181.9301555684,2808.87234070348,1839.83940859879
190,RSPv1,RSPv,8379.7408878843,5181.42687702266,2790.19307645998,1853.09051515916
