cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
1,Eth,LAT,3619.90192674586,11661.813011468,89247.2331849799,3773.494992675
3,Eth,LAT,1814.21147471553,13645.391333532,125472.366581292,3762.71626610674
5,Eth,LAT,-1991.29788253016,17825.8010249921,201817.170837269,3740
6,Eth,LAT,-1991.29788253016,17825.8010249921,201817.170837269,3740
7,Eth,LAT,-4217.7741445016,20271.6189351832,246483.96270237,3726.709472373
8,Eth,LAT,-3168.27550767501,19118.7287802266,225429.286317753,3732.97425536911
9,TH,IB,-20711.2917925987,38389.9979876727,577371.173356302,3628.25454801
10,TH,IB,-8692.23955906258,25186.8869918809,336249.130556808,3700
11,TH,IB,-8692.23955906258,25186.8869918809,336249.130556808,3700
12,TH,IB,-8692.23955906258,25186.8869918809,336249.130556808,3700
13,TH,IB,-11454.0143368,28220.7384326877,391654.894939966,3683.5141094428
15,TH,IB,-16648.3995876251,33926.8493380208,495862.843988709,3652.50721219421
16,TH,IB,-16762.4301090956,34052.1135936899,498150.484623278,3651.82652863077
17,TH,IB,-18743.6520738612,36228.515942214,537897.070136117,3640
18,TH,IB,-21701.5075684415,39477.7650215623,597236.537616664,3622.34364280508
19,TH,IB,-23505.4049565986,41459.3736357924,633425.699189609,3611.57561959142
20,APN,PRT,-29626.3498211165,48183.3243163508,756221.964728543,3575.03780052068
21,APN,PRT,-34633.5060632776,53683.7613187013,856673.790568634,3545.14853131723
22,APN,PRT,-27514.8591458232,45863.819815431,713861.973683808,3587.64194350367
23,APN,PRT,-31682.1733345103,50441.677596434,797465.180545645,3562.76595209917
24,APN,PRT,-29305.0303775284,47830.3500388148,749775.765883265,3576.95585597675
25,APN,PRT,-33523.1442352001,52464.0120259333,834398.09802396,3551.77662558623
26,APN,PRT,-34712.6106474366,53770.6589030227,858260.75920448,3544.67633151024
27,APN,PRT,-41355.0172358109,61067.4431886239,991518.408357938,3505.02574561341
28,APN,PRT,-38449.8722482692,57876.0973999471,933236.40072424,3522.36745743708
29,APN,PRT,-43668.3012036386,63608.6206790414,1037926.70620538,3491.21703585592
30,APN,PRT,-40664.6320192012,60309.0445671987,977668.140423915,3509.14686918043
31,APN,PRT,-42252.6997629234,62053.5610466841,1009527.40278753,3499.66720008088
32,APN,PRT,-40783.1912138975,60439.2836390265,980046.633724581,3508.43915256137
34,APN,PRT,-47763.9250281755,68107.7255087456,1120091.68593274,3466.76898647874
35,APN,PRT,-46794.1189647116,67042.3788531602,1100635.77421874,3472.55805977786
36,APN,PRT,-47590.3611887392,67917.0630012196,1116609.70859312,3467.80504288881
37,APN,PRT,-47564.9622974322,67889.1619342651,1116100.16487554,3467.95665675165
39,APN,PRT,-52594.5666016184,73414.2584728918,1217002.33592316,3437.93338810091
40,APN,PRT,-49640.685993401,70169.3758664421,1157742.6112294,3455.56601796583
42,APN,PRT,-58797.6179743316,80228.4043968118,1341445.79365317,3400.90544980718
43,APN,PRT,-57634.1095388697,78950.2727505344,1318103.89236829,3407.85079266571
44,APN,PRT,-58949.3021330557,80395.0317435464,1344488.82845335,3400
45,APN,PRT,-67705.0453918368,90013.3483836706,1520143.50236303,3347.73425180258
46,APN,PRT,-69000.7146478544,91436.6606938795,1546136.76803266,3340
47,APN,PRT,-73174.0063101868,96021.0848202547,1629859.89289037,3315.08832720065
48,APN,PRT,-74444.6339471442,97416.888532486,1655350.7823139,3307.50355659202
49,APN,PRT,-75783.5813973896,98887.7425948217,1682212.28005359,3299.51096381997
50,APN,PRT,-75987.0071377207,99111.2088529596,1686293.33645584,3298.29665245807
51,APN,PRT,-80434.600780392,103996.957861065,1775519.41217507,3271.74758602911
53,APN,PRT,-80223.7917097975,103765.380902758,1771290.23397077,3273.00597078021
54,APN,PRT,-79052.127162653,102478.289644213,1747784.70761197,3280
55,APN,PRT,-83150.1308799302,106980.008822153,1829997.43191919,3255.53774430463
56,APN,PRT,-83846.7228615119,107745.225668947,1843972.21781188,3251.37957063169
57,APN,PRT,-84654.7994168039,108632.910009219,1860183.56842127,3246.55591094743
65,APN,PRT,-87375.663891853,111621.820862634,1914768.60455031,3230.31422668041
66,APN,PRT,-91285.4802214288,115916.813343698,1993205.97898218,3206.97531989202
67,APN,PRT,-92454.0105157178,117200.46157799,2016648.62705105,3200
68,APN,PRT,-94800.93645747,119778.59528652,2063731.83847061,3185.9904708619
69,APN,PRT,-97616.1800526016,122871.183033414,2120210.27565905,3169.18540834365
70,APN,PRT,-97618.7625210493,122874.019914134,2120262.08424225,3169.16999278821
71,APN,PRT,-94039.2202887529,118941.838533371,2048450.55380143,3190.53739101424
72,APN,PRT,-100631.631756983,126183.702421948,2180705.21825484,3151.18524150178
73,APN,PRT,-103928.610658408,129805.483702242,2246848.06149504,3131.50455146998
74,APN,PRT,-112076.104064205,138755.628662431,2410300.23854938,3082.86963536957
76,APN,PRT,-115907.306383581,142964.262462101,2487160.48606943,3060
79,APN,PRT,-117589.863678107,144812.577144885,2520915.36491514,3049.95629345399
80,APN,PRT,-123637.691988172,151456.208182487,2642244.79158612,3013.854929783
81,APN,PRT,-128704.388515385,157022.051090144,2743891.09390253,2983.61024614424
82,APN,PRT,-131373.274872411,159953.863193319,2797433.36311825,2967.67883539119
86,APN,PRT,-136010.131413179,165047.520362767,2890456.36522805,2940
87,APN,PRT,-135649.787358527,164651.676958662,2883227.26821774,2942.15100546787
88,APN,PRT,-143403.742408549,173169.514071988,3038784.41574557,2895.86524191808
89,APN,PRT,-140947.886087631,170471.71869139,2989515.88097129,2910.52501028776
90,APN,PRT,-147583.383751981,177760.913419265,3122634.92569556,2870.9156659021
92,APN,PRT,-152762.48560451,183450.235279989,3226536.2645269,2840
93,APN,PRT,-164803.154924362,196677.092972649,3468091.98178846,2768.12550891455
94,APN,PRT,-153918.891714465,184720.564914079,3249735.68142935,2833.0970531261
95,APN,PRT,-159585.941441559,190945.904908587,3363426.06069492,2799.26867496283
97,APN,PRT,-157139.20488952,188258.127732288,3314340.48354985,2813.87400460244
99,APN,PRT,-160151.506633539,191567.186841635,3374772.23273716,2795.89264085132
100,APN,PRT,-161661.020603791,193225.410810687,3405055.57663727,2786.88188359887
102,APN,PRT,-162251.894764279,193874.495029134,3416909.48839721,2783.3547724016
106,APN,PRT,-170353.692972352,202774.44312223,3579444.94429854,2734.99262511447
107,APN,PRT,-173593.874997598,206333.832173434,3644448.34837641,2715.65097325922
111,APN,PRT,-182974.522161898,216638.615222553,3832639.62694712,2659.65497975788
113,APN,PRT,-181899.057071594,215457.200524998,3811064.02061021,2666.07476457152
114,APN,PRT,-184517.430784635,218333.523723367,3863592.9227427,2650.44487946323
123,APN,PRT,-186451.341828599,220457.954308519,3902390.37302852,2638.9007643981
125,APN,PRT,-195073.122957759,229929.111519408,4075357.5453179,2587.43467771745
132,APN,PRT,-198380.030219743,233561.799254215,4141699.56787216,2567.69472222096
133,APN,PRT,-203558.789239937,239250.744508425,4245594.02892053,2536.78110279143
134,APN,PRT,-204343.29352279,240112.534350247,4261332.48080434,2532.09815331524
138,APN,PRT,-206370.019016769,242338.923015098,4301991.94228321,2520
139,APN,PRT,-204102.215261702,239847.706227532,4256496.05263525,2533.53722425616
